File,Location,Pass(Y/N),Error,ErrorLocation,Row,Column
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N,Invalid File location,N/A,N/A,N/A
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N,Invalid File location,N/A,N/A,N/A
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N," Value 'nan' is not facet-valid with respect to enumeration '[LC, NT, VU, EN, CR, EW, EX, DD, NE, US]'. It must be a value from the enumeration.","N/A"," 55"," 47"
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N," The value 'nan' of element 'AccessConstraints' is not valid.","N/A"," 55"," 47"
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N," Value '' is not facet-valid with respect to enumeration '[None, Favorite]'. It must be a value from the enumeration.","N/A"," 104"," 58"
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N," The value '' of element 'ImageInterestRanking' is not valid.","N/A"," 104"," 58"
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N," Value '' is not facet-valid with respect to enumeration '[None, Favorite]'. It must be a value from the enumeration.","N/A"," 134"," 58"
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N," The value '' of element 'ImageInterestRanking' is not valid.","N/A"," 134"," 58"
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N," Value '' is not facet-valid with respect to enumeration '[None, Favorite]'. It must be a value from the enumeration.","N/A"," 164"," 58"
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N," The value '' of element 'ImageInterestRanking' is not valid.","N/A"," 164"," 58"
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N," Value '' is not facet-valid with respect to enumeration '[None, Favorite]'. It must be a value from the enumeration.","N/A"," 194"," 58"
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N," The value '' of element 'ImageInterestRanking' is not valid.","N/A"," 194"," 58"
deployment_manifest.xml,file:\\\C:\Users\HoffordC\Documents\xml2\deployment_manifest.xml,N," Value '' is not facet-valid with respect to enumeration '[None, Favorite]'. It must be a value from the enumeration.","N/A"," 224"," 58"
